Splat,Category,Name,Dots/Xp,Essence,Type,Resonance,Flavor,System
Lunar,General Lunar,Excellence of the Shifting Moon: (Ability) ,1,1,,,"By suffusing herself with pure Essence, the Lunar pay perform incredible feats.","Select one Attribute when purchasing this Charm. At any time, the player may reflexively spend 1 Mote to add (the Attribute being rolled) in dice to all rolls using that Attribute for (Essence rating + 1) rounds in combat, or minutes outside of combat.
This Charm can be repurchased to unlock additional Attributes, but Essence must be spent to add dice to each Attribute separately. Lunars begin play with all versions of Excellence of the Shifting Moon which correspond to their Caste and Favored Attributes.
Lunar Attributes Unless it says otherwise, any Lunar Charms which modify something by a value equal to a Lunar’s Attribute use the dots permanently recorded on her character sheet for her human form when applying that modification, not the Attribute rating of whatever form she happens to be wearing. Thus, a Lunar with Strength 2 who turns into an elephant and uses Excellence of the Shifting Moon to add dice to a Strength + Brawl roll only adds two extra dice."
Lunar,General Lunar,Changing Plumage Mastery ,1,1,,,"The Lunar may recast her appearance through the application of Essence and will, making minor cosmetic changes to her body.","Spend 1 Mote and roll Appearance + Presence (difficulty 6). For each success, the Lunar may change one feature about her appearance from the following list: • Hair length, presence, and/or texture (including facial and body hair).
• Hair color.
• Eye color.
• Skin color.
• Apparent age.
• Height.
• Build and weight.
• Facial or bodily features (cheekbone structures, shape of chin, presence or absence of scars or tattoos, weathering, etc).
• The Lunar may transform her sexual characteristics, assuming a fully male, female, intersex, or androgynous or sexless body. This is no mere cosmetic transformation; if the Lunar gives their body reproductive organs, they are fully functional.
Changing Plumage Mastery can’t remove or alter the Mark of Luna or hide a Lunar’s moonsilver tattoos. If used on any of the Lunar’s true forms, the changes wrought by this Charm last until Changing Plumage Mastery is used again to manually revert them one by one, and are otherwise permanent. If used to alter any form from her shapeshifting library, the changes vanish once the Lunar shifts out of that form, and are not present when she next dons it. This Charm may be used repeatedly to stack up a dramatic number of alterations.
Gender, Pregnancy, and Shapeshifting Luna is traditionally styled as female in her titles, but has not shown offense at being addressed by any set of gendered terms regardless of the form she was wearing at the time — and those forms are often something other than strictly female. Is it any wonder her Chosen have an ambiguous relationship with sex and gender? While every Lunar is certainly born into a body with certain sexual characteristics, the Chosen of the Moon fundamentally have no “true” sex. Through the auspices of Changing Plumage Mastery and their shapeshifting library, they may be whatever they wish to be. Lunar shapeshifting is not an illusory process; a Lunar’s physical anatomy changes when she transforms herself, possibly into a different sexual configuration than the one she was born with, and usually into a different species as well.
As a result, Lunars have a complex relationship with the idea of gender. Many strongly identify with a certain gender (often but not always the one they were born with) and consider transformations that take them outside of their preferred body type to be temporary masquerades. Others take a more relaxed or fluid outlook, adopting the attitudes and expectations of whatever shape they happen to be wearing, or changing their internal self-image depending on their feelings of the moment without regard for their body’s current shape. A few consider themselves above the constraints of gender identity altogether and simply treat their mutable anatomy as a convenience to be shaped to whatever best suits their needs, or grant themselves forms that transcend or transgress binary divisions.
All that being said, pregnancy forms a particular concern since the Lunar shares her body with another being for its duration (or at least the potential for one; people in Creation are ensouled upon taking their first breath outside their mother’s body).
While any form with male anatomy is capable of impregnating others, in order to become pregnant herself, the Lunar must possess a womb in her true form, and may only be impregnated while wearing either one of her true forms or a shape of the same species as one of her true forms with the relevant anatomy. Usually what that means is that she can be impregnated while wearing other human guises via Prey’s Skin disguise. Usually. (Older Lunars tend to view sexual taboos of any kind as quaint and amusing.) Meanwhile, those who lack childbearing anatomy in their true form need not worry about becoming pregnant while wearing alternate forms from their shapeshifting library.
As to how much pregnancy constrains a Lunar, it mostly doesn’t. The Lunar is always visibly pregnant in her true forms once the process gets far enough along, but can hide the condition in other forms capable of childbearing by increasing the difficulty of the shapeshifting roll by +1. While doing so, or while wearing body configurations that lack a womb or are too small to accommodate the developing fetus, the child continues to gestate Elsewhere. If the Lunar decides to do away with her true form’s womb during pregnancy via Changing Plumage Mastery, this terminates the fetus as her body painlessly reclaims its borrowed flesh."
Lunar,General Lunar,Chimerical Ascension ,1,1,,,"Giving her flesh and mind over to the beast within her soul, the Lunar fortifies her rage form with additional beastly or otherworldly features. These new alterations need not match the Lunar’s Feral Heart. Though this Charm is, itself, relatively safe, the eldest members of the Silver Pact tend to keep those who cultivate it at arm’s length either out of distrust or because their hybrid form stirs up painful memories.
A character must know Chain-Eating Guise to learn this Charm.","The Lunar adds one new Aspect to her rage form. This Charm may be purchased as many times as desired, but while the Lunar has more purchases of this Charm than her Essence rating, she suffers one permanent Derangement (see p. XX) per purchase over that limit, as her mind is consumed by bestial impulses and instincts."
Lunar,General Lunar,Hide of the Cunning Hunter ,1,1,,,"Though it pains her to do so, the Lunar can forcibly hide the marks of Luna’s blessing upon her flesh.","The Lunar may spend 1 Mote and a turn in concentration to cause her moonsilver tattoos to vanish, becoming impossible to spot. Additionally, three successes are required to spot her Tell. Flaring her anima ends this Charm, causing her tattoos to burst into brilliantly illuminated visibility and stripping its protection from her Tell.
The Lunar may reflexively end Hide of the Cunning Hunter at any time she likes, making her tattoos visible and returning the difficulty to spot her Tell to normal."
Lunar,General Lunar,Humble Mouse Shape ,1,1,,,"The Lunar expands her shapeshifting prowess, learning to don the forms of animals smaller than a housecat. Forms taken with this Charm must still be easily visible to the naked eye, and so while mice and most spiders are valid, fleas are not.",This Charm’s effects are permanent. This Charm must be taken during character creation to have a Feral Heart smaller than a housecat. It is possible to use the Sacred Hunt to stock the character’s shapeshifting library with tiny forms prior to learning this Charm; they’re simply not usable until Humble Mouse Shape has been mastered.
Lunar,General Lunar,Hybrid Body Rearrangement ,1,1,,,The Lunar may conjure a particular beastly feature into whatever shape she currently wears.,"Spend a turn in concentration and roll the Lunar’s Essence rating against difficulty 7 to manifest one or more of her Feral Heart or rage form’s Aspects while wearing a different shape.
Alternately, reflexively spend 1 Mote to manifest the Aspects without need of an action or a dice roll. This feature remains present until this Charm is used again to dismiss it, or until the Lunar changes into a different form.
Hybrid Body Rearrangement can be repurchased as many times as desired. Each additional purchase adds a new Aspect to the Lunar’s options for this Charm, based on some form in her shapeshifting library."
Lunar,General Lunar,Intimate Training Recollection ,1,1,,,"The great limitation of the Lunar’s human faces is that she takes only the shape and not the knowledge. With mastery of this Charm, the Lunar may also snatch fleeting bits of knowledge from the human shapes in her form library. She must know Prey’s Skin Disguise to learn this Charm.","In a situation where the Lunar is in danger of being uncovered as an impostor because she doesn’t know something her current form’s original owner would have, or because she has said or done something incongruent with her current form’s personality, the Lunar may reflexively spend 1 Mote and make a Wits + Empathy roll to dredge the correct response to smooth things over from the depths of the shape’s history and to immediately enact it or blurt it out without any contextual understanding of what she’s doing or saying beyond knowing it’s the right thing.
Intimate Training Recollection can only be activated when the Lunar feels in genuine danger of blowing her cover. She can’t use this to go fishing for the form’s secrets, for example by having another Lunar leer suspiciously at her, because she knows there’s no real deception and no stakes attached to being found out."
Lunar,General Lunar,Monkey Arm Style ,1,1,,,"The Lunar may stretch any part of her body out, permitting her to strike or grab from a frightening distance. This Charm is normally used to enhance a character’s limbs, but might also grant her a long, flexible serpentine neck or even stranger anatomical transformations.","The Lunar might potentially lower the difficulty for interacting with hard-to-reach targets, as she can snake her body around corners or through twisty confines. She can launch Brawl, Martial Arts, and Melee attacks against targets in adjacent zones at +1 difficulty."
Lunar,General Lunar,Prey’s Skin Disguise ,1,1,,,"The Lunar expands her shapeshifting prowess. By performing the Sacred Hunt upon a human being, the Lunar may claim his appearance for her shapeshifting library.","Learning a specific human appearance works the same as hunting and consuming an animal form. The shapeshifting roll to assume a human skin is made at difficulty 7 rather than 6.
This Charm must be taken during character generation to buy the Stolen Faces Background."
Lunar,General Lunar,Rat-Head Technique ,1,1,,,"The Lunar can collapse her bones, allowing her to pour herself out of any sort of restraints or confinement, or even to squeeze through narrow pipes and cracks no larger than two of her fingers.","Spend 1 Mote to activate this Charm. For the rest of the scene, the Lunar can automatically escape from chains, ropes, or similar restraints if she gives up her action for the turn to concentrate on escaping, and can slowly squeeze herself through spaces that should be far too small to admit her as a form of complex movement. She may also use complex movement to move away from grapple-type powers and Charms such as Dragon Coil Technique, despite that they would normally immobilize her."
Lunar,General Lunar,Somnolent Statuary Method ,1,1,,,"The Lunar can press herself against an inorganic surface — a wall, a statue, the earth itself — and sink into it, merging with its substance and hiding perfectly within. She remains aware of her surroundings while inanimate.","Spend 1 Mote to merge with an object, which must be at least as large as the Lunar’s current form. Any serious disruption to the Lunar’s hiding place (smashing a statue, digging up the ground) ejects her, and she suffers a –2 penalty to her actions for a minute afterwards due to disorientation. Otherwise, she may voluntarily emerge from hiding whenever she likes. The Lunar ages at only half her normal rate while using this Charm."
Lunar,General Lunar,Towering Beast Form ,1,1,,,"The Lunar expands her shapeshifting prowess, learning to don the forms of great beasts of enormous size. Forms taken with this Charm may encompass any large animal, such as an elephant, whale, or mighty tyrant lizard.",This Charm’s effects are permanent. This Charm must be taken during character creation to have a Feral Heart larger than an elk. It is possible to use the Sacred Hunt to stock the character’s shapeshifting library with huge forms prior to learning this Charm; they’re simply not usable until Towering Beast Form has been mastered.
Lunar,General Lunar,Blood and Ash Masquerade ,2,1,,,"The Lunar shrouds herself in a deathly veil, making it easy to mistake the form she dons for one of the restless dead.","The Lunar increases the difficulty of a shapeshifting roll by +2 or increases the cost of a reflexive transformation by 1 additional Mote (making the cost to apply Blood and Ash Masquerade to her human or Feral Heart true forms 1 Mote in total). While she wears the enchanted form, it seems pale, drawn, and otherworldly. Unless given some reason to suspect otherwise, those who see her believe she is a wandering shade, ghost-animal, or other deathly spirit. Blood and Ash Masquerade lasts as long as the Lunar wears the enchanted form.
“Wandering about in broad daylight outside of the Underworld or a shadowland” generally counts as reason to be suspicious of a ghost, so this Charm is mostly useful for infiltrating shadowlands and the Underworld. Those who regard the Lunar’s guise with suspicion may make a Perception + Awareness roll against difficulty 9 once per scene to try to see through this Charm’s disguise."
Lunar,General Lunar,Dreadful Encore Performance ,2,1,,,"The Lunar’s body splits open and a human being drawn from her shapeshifting library climbs out of her. This doppelganger acts according to the Lunar’s will, displaying a very crude approximation of its original personality but lacking its original memories and skills. The Lunar must know Prey’s Skin Disguise and Intimate Training Recollection to learn this Charm.","Spend 1 Mote and a turn in concentration to manifest a person whose form the Lunar holds in her shapeshifting library. The person intuits the Lunar’s will and acts according to the purpose for which they were created; when their task is done, they will return to the Lunar and rejoin with her flesh, and she will gain any knowledge they learned while abroad on their task.
The Lunar loses access to the person’s shape while they’re separated from her, and if they are slain or otherwise prevented from rejoining the Lunar, she loses that shape from her library.
The person is treated as an antagonist with an Expertise pool of 5 dice relating to whatever their strongest Attribute was (if burly, to feats of strength and brawling; if pretty, to socializing and seduction) and a utility pool of 3 dice for all other purposes."
Lunar,General Lunar,Ox Dragon Charge ,2,1,,,"Driving herself into an opponent, the Lunar’s body momentarily grows an abundance of bony plates and spikes, increasing her mass and killing force.","When the Lunar advances into an adjacent zone and immediately makes an unarmed attack against someone in it, she may reflexively spend 1 Mote before rolling to transform her body into a living ram. The attack increases its base damage by +4 (or by +6 if the Lunar is already wearing a heavy form capable of devastating charges, such as a rhinoceros) and sends the target flying two zones away where he lands prone."
Lunar,General Lunar,Shadow of the Beast ,2,1,,,"The Lunar’s flesh roils, shudders, and disgorges a beast drawn from her form library, which moves and acts according to her will.","Spend 1 Mote and a turn in concentration to manifest an animal whose form the Lunar holds in her shapeshifting library (which is not her Feral Heart). The beast intuits the Lunar’s will and acts according to the purpose for which it was created; when its task is done, it will return to the Lunar and rejoin with her flesh, and she will gain any knowledge the beast learned while it was abroad on its task. The Lunar loses access to the beast’s shape while it’s separated from her, and if it is slain or otherwise prevented from rejoining the Lunar, she loses that shape from her form library."
Lunar,General Lunar,Tyrant Mouse Dominion ,2,1,,,"The Lunar may increase or decrease the size of any of her animal forms, becoming a bear capable of creeping in through pipes or a cobra of terrifying size.","When transforming into an animal form, either increase the difficulty of the shapeshifting roll by +1 or reflexively spend 1 Mote. The shape may be adjusted up to the scale of any beast the Lunar can hold in her form library (and so Humble Mouse Shape and Towering Beast Form significantly expand the scope of this Charm). An animal made much smaller than its normal size suffers –1 to its Strength and Stamina (to a minimum of 1), but +1 to Dexterity. A scaled-up form adds +1 to Strength and Stamina, but reduces Dexterity by –1 (to a minimum of 1)."
Lunar,General Lunar,Weapon-Snatching Coils ,2,1,,,"Upon upsetting an enemy’s grip with an attack, the Lunar’s body erupts with writhing tentacles, lashing pseudopodia, or coiling serpents, tearing the foe’s weapon from his grasp.","Once per scene, after successfully striking a target, the Lunar may forfeit two dice of damage and declare the target disarmed (see p. XX). Retrieving a disarmed weapon is considered a form of complex movement that forfeits the target’s ability to move to another zone that round, and cannot be done if the target is unable to move to another zone for any other reason (such as having been attacked before his turn). If the Lunar forfeits three dice of damage, she claims the weapon as her own and reflexively equips it.
Disarmed antagonists generally reduce their base damage to 1B. Natural weapons such as claws and fangs cannot be disarmed."
Lunar,General Lunar,Wondrous Lunar Transformation ,2,1,,,"The Lunar can transform another character by feeding them a bit of her blood, causing them to shapeshift into a human or animal shape from her form library.","The Lunar must feed her target a bit of her blood and spend 1 Mote. If she feeds them only a few drops, the transformation lasts for one hour. If she gives more than that, the transformation lasts for (number of levels of lethal damage suffered due to blood loss x Essence rating) days. If the subject doesn’t wish to transform, the Lunar must beat them in a contested Willpower roll against difficulty 6."
Lunar,General Lunar,Ant and Starfish Division ,3,1,,,"The Lunar splits herself asunder, creating independently active duplicates of herself.","The Lunar spends 3 Motes and a turn in total concentration to split off a clone of herself from her own flesh. The clone shares the Lunar’s personality, agenda, memories, Traits, and doesn’t consider itself to be an independent entity — it is, rather, a remote extension of the original Lunar’s identity and being. The clone shares the Lunar’s Charms and other powers, but both bodies must spend resources from a single Willpower and Mote pool, and any injuries inflicted on one of the Lunar’s bodies also appears on the other.
The Lunar may reabsorb her clone by spending a turn in physical contact with it, gaining all of its memories in the process. The Lunar may also cause her clone to denature into streamers of unraveling silver Essence at any time by spending another 2 Motes, which may prove necessary if it is captured, trapped, or otherwise in imminent danger of death, since any damage inflicted on the clone is also suffered by the Lunar."
Lunar,General Lunar,Becoming the Swarm ,3,1,,,"The Lunar can multiply her Essence again and again, becoming not merely a small creature, but a swarm of them. She must already have Humble Mouse Shape to learn this Charm, and must have a suitable creature in her shapeshifting library to become many copies of.","The Lunar concentrates for a turn and spends 2 Motes, then erupts into a swarm of small creatures: insects, rats, bats, nothing larger.
As a swarm, the Lunar becomes an environmental hazard that threatens everyone in the same zone she occupies. On her turn (as a swarm, the Lunar cannot cut ahead), if the Lunar chooses to attack then all of her enemies within the zone must make a successful roll to somehow fight off or avoid the swarm (the Attribute and Ability used are determined by whatever approach they take) against a difficulty of (3 + Lunar’s Brawl). Failure subjects them to seven dice of lethal damage, rolled once and applied to all affected targets. This damage can be enhanced by Charms which augment the Lunar’s natural attacks, such as Adder Fang Method.
The Lunar herself suffers a –2 penalty to her Defense and soak as a swarm, but cannot suffer more than a single level of damage from any attack that isn’t an area-of-effect attack or which doesn’t have special results when directed against groups. Once she suffers three levels of damage while she is a swarm, this Charm is forcibly terminated for the rest of the scene.
While the Lunar is a swarm, she cannot take advantage of any Charms which work by transforming her body (such as Hybrid Body Rearrangement), which grant her extra attacks (such as Vicious Hydra Transformation), or which create normal attacks with special properties (such as Ossific Shard Shot)."
Lunar,General Lunar,Internal Form Mastery ,3,1,,,"Through meticulous practice, the Lunar learns to master the art of shapeshifting.","The difficulty of all shapeshifting rolls, including those that are part of Charms such as Hybrid Body Rearrangement, are reduced by two."
Lunar,General Lunar,Quicksilver Second Face ,3,1,,,"With meticulous concentration and a great expenditure of divine power, the Lunar may redefine herself bit by bit.","The Lunar spends a moment in intense concentration and spends 3 Motes. She may subtract a dot from one of her Attributes and add it to a different Attribute within the same category (so she could trade a dot of Appearance for one of Charisma, but not for a dot of Strength). This can’t raise an Attribute above 5 dots or reduce it to 0 dots."
Lunar,General Lunar,Terrible Ogre Refinement ,3,1,,,"After rigorous communion with her predatory instincts, the Lunar learns to draw forth a second face for her fury. She must already know Chain-Eating Guise to learn this Charm.","The Lunar gains a second rage form, with different Aspects but otherwise conforming to the standard rules for rage form design. Any purchases of Chimerical Ascension upgrade both forms, and the Lunar need not choose the same new Aspect for both."
Lunar,General Lunar,Vicious Hydra Transformation ,3,1,,,"The Lunar transforms some portion of her body into a deadly serpent or serpents. Transforming one’s hair into a nest of writhing snakes is traditional, but a tail, the tongue, or even the fingers of one hand are also all potential options, along with other possibilities best not dwelled upon.","Reflexively spend 1 Mote. At the end of the round, after all other characters have acted, roll an extra (Strength or Dexterity) + (Brawl or Martial Arts) attack with base damage 5L against a single opponent in the same zone. This Charm persists for the Lunar’s (Essence rating) in rounds."
Lunar,Full Moon,Adder Fang Method ,1,1,,"Dexterity,Intelligence,Stamina","The Lunar transforms her Essence into a debilitating poison and infuses it into her saliva, talons, or some other natural attack, the better to disrupt an enemy’s body.","Reflexively spend 1 Mote when the Lunar inflicts lethal or aggravated damage with a natural attack. This debilitating poison prevents the target from healing any damage, by any means, for a number of days equal to the Lunar’s Essence rating."
Lunar,Full Moon,Bear Embrace Method ,1,1,,Strength,The Lunar’s muscles surge as she crushes the life out of those caught in her grip.,"The Lunar locks herself in a deadly embrace with an opponent, immobilizing him and wrenching apart his joints one by one. By reflexively paying 1 Mote upon landing a successful unarmed attack, the Exalt locks herself and her target in place. Unless she voluntarily relinquishes the power of this Charm, neither can move from the zone they currently occupy until the Lunar has taken another (current form’s Strength rating) turns. The initial attack inflicts lethal damage, as do all subsequent unarmed attacks during the duration of Bear Embrace Method. While Bear Embrace Method persists, the Lunar may opt not to roll to attack her target if she desires, instead automatically scoring (Essence rating) successes with an unarmed attack on each of her turns.
Attacking anyone other than her grappled target immediately ends Bear Embrace Method. Each time the Lunar is struck by an attack, the duration of Bear Embrace Method is cut short by one round."
Lunar,Full Moon,Burning Venom Attack ,1,1,,Dexterity,"The Lunar may spit streams of sizzling, acidic venom at her enemies.","The Lunar is always armed with a Dexterity + Thrown weapon which can target opponents up to one zone away, with a base damage of 7L. She may employ this attack in any form which has a mouth."
Lunar,Full Moon,Deadly Assassin’s Claw ,1,1,,Dexterity,"The Lunar may break off fragments of her own body — her claws, her teeth — within an opponent’s flesh, there to work themselves toward the enemy’s heart.",Reflexively spend 1 Mote after successfully inflicting lethal or aggravated damage with a natural attack. The target must soak one automatic level of lethal damage per turn for the next (Wits rating) turns.
Lunar,Full Moon,Deadly Mantis Practice ,1,1,,Strength,"The Lunar suffuses her muscles with Essence, enabling her to fight with heavy weapons as though they weighed little more than feathers.","The Lunar may adroitly wield two-handed weapons using a single hand, allowing her to enjoy their enormous damage potential while taking advantage of freehand, sword and board, or dual wielding fighting style bonuses."
Lunar,Full Moon,Eagle Eye Advantage ,1,1,,"Dexterity,Perception","Observing her prey for a few moments, the Lunar’s keen instincts give her an infallible sense for where he will be just… now, in the moment she strikes.","If the Lunar takes no action at all during a round but to observe a specific opponent, then on her next turn she may launch an undodgeable attack against him. Protagonists cannot apply their Dodge defense. Directed against an antagonist, the attack roll lowers its difficulty by –2."
Lunar,Full Moon,Ferocious Biting Strike ,1,1,,"Dexterity,Strength","The Lunar’s attacks curve through the air as they seek out organ and artery, smoothly eliding her opponent’s defenses.","When the Lunar spends a point of Willpower to enhance an attack roll, she lowers the difficulty by an additional –1."
Lunar,Full Moon,Foot-Trapping Counter ,1,1,,"Dexterity,Wits","Matching herself to the rhythm of her foe’s movements, the Lunar hems in an enemy’s motions, preventing him from disengaging or running away.","When someone in the same zone as the Lunar tries to move to another zone, she may reflexively make a contested roll of Dexterity + Athletics against the opponent’s Dexterity + Athletics (both at difficulty 6). If the Lunar gains more successes than her opponent, they cannot successfully leave the zone during this round."
Lunar,Full Moon,Heron Sheds Rain ,1,1,,Dexterity,"The Lunar flicks away clumsy attacks with a dismissive toss of solidified hair, a casually extruded armored tendril, or by bending her joins to drift just out of the path of an assault not worth her full attention.","Reflexively spend 1 Mote to activate this Charm. For the next (2 + Essence rating) rounds, all attacks directed at the Lunar must discard one rolled success, and all attacks by antagonists must roll one more success than they otherwise would before adding a point to the attack’s damage (usually meaning that attacks must roll three successes per point of damage added)."
Lunar,Full Moon,Life of the Hummingbird ,1,1,,"Strength,Dexterity,Stamina","The Lunar may briefly teach her flesh the shape of another by drinking his blood, without adding that form permanently to her shapeshifting library.","If her target isn’t already bleeding, the Lunar needs to create a wound that inflicts at least one level of lethal damage, ideally using sharp teeth for simplicity’s sake. In any case, upon drinking a beast’s blood (or a human’s, if the Lunar knows Prey’s Skin Disguise), she may reflexively pay 1 Mote to assume his form. Once she shifts into a different form, she loses access to this temporary shape."
Lunar,Full Moon,Osseous Aegis ,1,1,,Stamina,The Lunar extends her skeleton into a broad bony shield protecting both of her forearms.,"Make a difficulty 7 shapeshifting roll by spending a turn in concentration and rolling the character’s Essence rating, or spend 1 Mote to reflexively transform without the need for an action or a roll. For the rest of the scene, the Lunar enjoys the benefits of the sword and board fighting style in addition to whatever other method of combat she’s employing."
Lunar,Full Moon,Ox-Body Technique ,1,1,,Stamina,The Lunar’s body is so rugged as to endure the most catastrophic damage imaginable.,"The character permanently gains an additional set of (–1), (–1), (–2), and (–2) health levels.
This Charm can be purchased a number of times equal to the character’s Stamina rating."
Lunar,Full Moon,Predator Grace Method ,1,1,,"Dexterity,Wits",The Lunar moves with the grace and surety of a jungle cat on the prowl.,"The character needs never roll to maintain her balance, no matter how precarious her footing, and may stand or run upon even the weakest or most insubstantial of surfaces, such as falling leaves, individual threads, drops of rain, or even the surface of water. Reflexively spending 1 Mote makes her immune to falling damage for the rest of the scene, and ensures she always lands on her feet."
Lunar,Full Moon,Sinuous Striking Grace ,1,1,,Dexterity,"The Lunar allows her bestial instincts to guide her actions, leading her to strike when her foes least expect it.",The Lunar may reflexively spend 1 Mote to cut ahead without spending Willpower for the next (higher of Dexterity or Wits) rounds.
Lunar,Full Moon,Spider Climbing Technique ,1,1,,"Dexterity,Manipulation","The Lunar’s toes and fingertips subtly reshape themselves to exploit even the smallest imperfections in any surface, allowing her to scale sheer surfaces as easily as though she were traversing the ground.","The Lunar never needs to roll to climb any surface, and does not treat doing so as complex movement."
Lunar,Full Moon,Armor-Forming Technique ,2,1,,"Stamina,Intelligence",The Lunar extrudes her Essence into bone armor or a hardened carapace.,Reflexively spend 1 Mote and roll Willpower against difficulty 6. Each success grants the character 1 additional soak for the rest of the scene. This Charm doesn’t stack with itself; new activations replace older ones.
Lunar,Full Moon,Armor-Rending Claw Fist ,2,1,,Strength,"Exerting all of her force into an attack, the Lunar smashes through the toughest opposition as though it did not exist.","Reflexively spend 1 Mote. Until the end of the current round, all hand-to-hand attacks inflict aggravated damage."
Lunar,Full Moon,Bounding Hare Evasion ,2,1,,Dexterity,"The Lunar ranges where she pleases, moving in quick bursts and bounds that confound the efforts of her foes to restrain her.","If an attack directed against the Lunar before her turn fails to strike her, it does not prevent her from reflexively moving to another zone that round. She may also do so even if an attack against her does succeed (Essence rating) times per battle. Moreover, she may respond to an attack, after it resolves, by reflexively paying 1 Mote, 1 Willpower to move into an adjacent zone."
